blocknumber,timestamp,collateral,bands,maxborrowable,collateraltoken,borrowabletoken
17695734,1689386735,1000000000000000000,10,1889534359898238344487,wstETH,crvUSD
17701734,1689460235,1000000000000000000,10,1889943549244436204015,wstETH,crvUSD
17707734,1689533363,1000000000000000000,10,1890357780769077869860,wstETH,crvUSD
17713734,1689606023,1000000000000000000,10,1871854195087961419284,wstETH,crvUSD
17719734,1689678671,1000000000000000000,10,0,wstETH,crvUSD
17725734,1689751499,1000000000000000000,10,1853640941592249665593,wstETH,crvUSD
17731734,1689824123,1000000000000000000,10,1853710180746131208153,wstETH,crvUSD
17737734,1689896687,1000000000000000000,10,1835271916913355063101,wstETH,crvUSD
17743734,1689969275,1000000000000000000,10,0,wstETH,crvUSD
17749734,1690041755,1000000000000000000,10,1835538303501318056481,wstETH,crvUSD
17755734,1690114307,1000000000000000000,10,1817351109589389834847,wstETH,crvUSD
17761734,1690186811,1000000000000000000,10,1835870292636885814604,wstETH,crvUSD
17767734,1690259339,1000000000000000000,10,1799485360024560778726,wstETH,crvUSD
17773734,1690331951,1000000000000000000,10,1817790168651032005751,wstETH,crvUSD
17779734,1690404431,1000000000000000000,10,1817921565832147823186,wstETH,crvUSD
17785734,1690476971,1000000000000000000,10,0,wstETH,crvUSD
17791734,1690549499,1000000000000000000,10,0,wstETH,crvUSD
17797734,1690622075,1000000000000000000,10,1836546647402702319335,wstETH,crvUSD
17803734,1690694519,1000000000000000000,10,1836575492904843062325,wstETH,crvUSD
17809734,1690767167,1000000000000000000,10,1818257046652149299342,wstETH,crvUSD
17815734,1690839563,1000000000000000000,10,1818321840426863495925,wstETH,crvUSD
17821734,1690911983,1000000000000000000,10,1782358480870724106238,wstETH,crvUSD
17827734,1690984391,1000000000000000000,10,1800784655460440054811,wstETH,crvUSD
17833734,1691056811,1000000000000000000,10,1783171449559302263226,wstETH,crvUSD
17839734,1691129279,1000000000000000000,10,1801572374632476522965,wstETH,crvUSD
17845734,1691201819,1000000000000000000,10,1783934416084748618323,wstETH,crvUSD
17851734,1691274275,1000000000000000000,10,1784307496781126514651,wstETH,crvUSD
17857734,1691346875,1000000000000000000,10,1784676708994774267013,wstETH,crvUSD
17863734,1691419535,1000000000000000000,10,1784946310780052416814,wstETH,crvUSD
17869734,1691492015,1000000000000000000,10,1785161511400692452763,wstETH,crvUSD
17875734,1691564615,1000000000000000000,10,1803412194149479332552,wstETH,crvUSD
17881734,1691637179,1000000000000000000,10,1803631158740233842568,wstETH,crvUSD
17887734,1691709743,1000000000000000000,10,1803834815624952473372,wstETH,crvUSD
17893734,1691782103,1000000000000000000,10,1804033206033581299151,wstETH,crvUSD
17899734,1691854811,1000000000000000000,10,1804235085270232321437,wstETH,crvUSD
17905734,1691927243,1000000000000000000,10,1804439957451787899283,wstETH,crvUSD
17911734,1691999795,1000000000000000000,10,1804617754541788088134,wstETH,crvUSD
17917734,1692072191,1000000000000000000,10,1804655912124191600321,wstETH,crvUSD
17923734,1692144707,1000000000000000000,10,1786647720953817900532,wstETH,crvUSD
17929734,1692217259,1000000000000000000,10,0,wstETH,crvUSD
17935734,1692289751,1000000000000000000,10,0,wstETH,crvUSD
17941734,1692362459,1000000000000000000,10,1648690263476940913360,wstETH,crvUSD
17947734,1692434951,1000000000000000000,10,1632206384116282225825,wstETH,crvUSD
17953734,1692507563,1000000000000000000,10,1632213965380550774190,wstETH,crvUSD
17959734,1692580163,1000000000000000000,10,1648714565536568085606,wstETH,crvUSD
17965734,1692652703,1000000000000000000,10,0,wstETH,crvUSD
17971734,1692725207,1000000000000000000,10,0,wstETH,crvUSD
17977734,1692797627,1000000000000000000,10,1599953449830229101634,wstETH,crvUSD
17983734,1692870107,1000000000000000000,10,1632513862850382471519,wstETH,crvUSD
17989734,1692942623,1000000000000000000,10,0,wstETH,crvUSD
17995734,1693015187,1000000000000000000,10,1616342890144654683079,wstETH,crvUSD
18001734,1693087799,1000000000000000000,10,1616423780236486749684,wstETH,crvUSD
18007734,1693160303,1000000000000000000,10,1616506530982372383694,wstETH,crvUSD
18013734,1693232855,1000000000000000000,10,1616596843264618169456,wstETH,crvUSD
18019734,1693305527,1000000000000000000,10,1616690693717564740434,wstETH,crvUSD
18025734,1693378139,1000000000000000000,10,1683142642027258585609,wstETH,crvUSD
18031734,1693450883,1000000000000000000,10,1666488623124155005823,wstETH,crvUSD
18037734,1693523339,1000000000000000000,10,1617161445764408299908,wstETH,crvUSD
18043734,1693595879,1000000000000000000,10,1585148426046693381799,wstETH,crvUSD
18049734,1693668623,1000000000000000000,10,1601330688089489280940,wstETH,crvUSD
18055734,1693741271,1000000000000000000,10,1601503188834956231564,wstETH,crvUSD
18061734,1693813847,1000000000000000000,10,1601675088633178794652,wstETH,crvUSD
18067734,1693886207,1000000000000000000,10,1585827753371332176010,wstETH,crvUSD
18073734,1693958795,1000000000000000000,10,0,wstETH,crvUSD
18079734,1694031527,1000000000000000000,10,1602187734274320609206,wstETH,crvUSD
18085734,1694104031,1000000000000000000,10,1602360259644115353015,wstETH,crvUSD
18091734,1694176547,1000000000000000000,10,1602535042508016240399,wstETH,crvUSD
18097734,1694249099,1000000000000000000,10,1602710268805303225384,wstETH,crvUSD
18103734,1694321819,1000000000000000000,10,1586854180125253651304,wstETH,crvUSD
18109734,1694394455,1000000000000000000,10,1571155071032092388694,wstETH,crvUSD
18115734,1694466947,1000000000000000000,10,1509405858083823161606,wstETH,crvUSD
18121734,1694539691,1000000000000000000,10,0,wstETH,crvUSD
18127734,1694612363,1000000000000000000,10,1571651166435312796528,wstETH,crvUSD
18133734,1694684999,1000000000000000000,10,1587693481349585585122,wstETH,crvUSD
18139734,1694757947,1000000000000000000,10,1603901114135139322369,wstETH,crvUSD
18145734,1694831087,1000000000000000000,10,1604071541734908110803,wstETH,crvUSD
18151734,1694904347,1000000000000000000,10,1604242125203790414812,wstETH,crvUSD
18157734,1694977955,1000000000000000000,10,1588370358184121448335,wstETH,crvUSD
18163734,1695051179,1000000000000000000,10,1620795162349185048452,wstETH,crvUSD
18169734,1695123815,1000000000000000000,10,1620970218487929369460,wstETH,crvUSD
18175734,1695196391,1000000000000000000,10,1604936300536785876453,wstETH,crvUSD
18181734,1695268775,1000000000000000000,10,1589060148308866022128,wstETH,crvUSD
18187734,1695341435,1000000000000000000,10,1557607727534384914100,wstETH,crvUSD
18193734,1695414227,1000000000000000000,10,1557777178808275345146,wstETH,crvUSD
18199734,1695486839,1000000000000000000,10,1557945546612062424173,wstETH,crvUSD
18205734,1695559451,1000000000000000000,10,1558113031935595880506,wstETH,crvUSD
18211734,1695632027,1000000000000000000,10,1542697443240104227163,wstETH,crvUSD
18217734,1695704435,1000000000000000000,10,1558448832384052220147,wstETH,crvUSD
18223734,1695777023,1000000000000000000,10,1558618898752179941879,wstETH,crvUSD
18229734,1695849587,1000000000000000000,10,1574534221310208643106,wstETH,crvUSD
